Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ff/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,8:35:37,"PM,",Mon,Jul,"6,",2026
design,:,//new,bitcell,tb,with,periphery.,updated,in,300626
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-3.86309,0.882234,-0.297791,0.725584,-3.14001,1.99962,0.935,-0.2,0,3e-10,4e-10,0,1,0.935,5e-06,2600,0.113379,-0.541448,-0.00227669,0.0499411,0.0437125,-4.34704,0.173028,-0.0409589,0.0346057,-0.174614,0.286863,-0.68714,125,1.28449e-05,0.705347,4.06998e-05,0.492607,0.315601,0.21274,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302664,0.285322,0.372454,0.362038,0.36021,0.374631
-3.86185,1.38285,-0.259815,0.963754,-3.1462,2.39706,0.935,-0.2,0,3e-10,4e-10,0,1,0.935,3e-06,2600,0.116569,-0.476923,-0.00173983,0.0781048,0.0487153,-3.92252,0.172823,-0.0645114,0.0295772,-0.263575,0.270834,-0.848325,125,1.05131e-05,0.726323,5.01325e-05,0.422129,0.209706,0.304194,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.302579,0.284686,0.377515,0.368545,0.360134,0.383963
-3.86291,1.6049,-0.289666,0.621996,-3.14103,2.43398,0.935,-0.2,0,4e-10,2.5e-10,0,1,0.935,5e-06,2600,0.113409,-0.529269,-0.00315999,0.0450906,0.0438888,-3.90688,0.173799,-0.0830903,0.035111,-0.171272,0.285804,-0.728722,125,1.28441e-05,0.650449,3.87754e-05,0.400495,0.331244,0.249954,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.30265,0.285312,0.377996,0.367284,0.36021,0.386932
-3.86112,2.2765,-0.242628,0.769979,-3.14838,2.83833,0.935,-0.2,0,4e-10,2.5e-10,0,1,0.935,3e-06,2600,0.115749,-0.420074,-0.00178076,0.0638117,0.0511967,-3.19247,0.173178,-0.117498,0.0289373,-0.240412,0.271565,-0.851216,125,1.05112e-05,0.677595,4.58292e-05,0.331833,0.229357,0.345762,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.302549,0.284663,0.383023,0.373368,0.360134,0.399044
-3.86295,1.22245,-0.289344,0.63908,-3.141,2.22562,0.935,-0.2,0,4e-10,3e-10,0,1,0.935,5e-06,2600,0.11342,-0.532723,-0.00316031,0.0482077,0.0449466,-4.15655,0.173817,-0.0664028,0.0351145,-0.181388,0.285832,-0.737184,125,1.2844e-05,0.65045,3.9876e-05,0.389104,0.322098,0.261346,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.30265,0.285312,0.375354,0.364801,0.36021,0.380434
-3.86169,1.82919,-0.252014,0.857011,-3.14706,2.65072,0.935,-0.2,0,4e-10,3e-10,0,1,0.935,3e-06,2600,0.115321,-0.442405,-0.00178102,0.0720133,0.0480875,-3.57684,0.172313,-0.0976945,0.028051,-0.271109,0.271605,-0.903078,125,1.05124e-05,0.677582,4.82977e-05,0.308469,0.217658,0.369114,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.302568,0.284679,0.380713,0.371449,0.360134,0.391521
-3.86368,0.879329,-0.289293,0.646112,-3.1401,2.02307,0.935,-0.2,0,4e-10,4e-10,0,1,0.935,5e-06,2600,0.113751,-0.539807,-0.00280867,0.050649,0.0445877,-4.34022,0.173435,-0.0410199,0.0347573,-0.190271,0.286133,-0.739707,125,1.28439e-05,0.650451,4.0713e-05,0.380545,0.315475,0.269906,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.302662,0.285324,0.37276,0.362318,0.36021,0.374587
-3.862,1.37444,-0.251473,0.908875,-3.14675,2.43118,0.935,-0.2,0,4e-10,4e-10,0,1,0.935,3e-06,2600,0.116167,-0.474349,-0.00222542,0.0828646,0.0485142,-3.89551,0.173138,-0.0644177,0.0298207,-0.307448,0.270166,-0.932007,125,1.05122e-05,0.677585,5.01631e-05,0.291563,0.20956,0.386022,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.302572,0.284683,0.377954,0.368972,0.360134,0.383825
-3.84623,1.28055,-0.484578,0.753293,-3.12789,2.0527,0.935,-0.1,0,2.5e-10,2.5e-10,0,1,0.935,5e-06,2600,0.148264,-0.282597,-0.00420083,0.0478103,0.022981,-4.2495,0.173964,-0.0628492,0.0590587,-0.160714,0.363001,-0.639491,125,2.65564e-05,0.621068,4.00865e-05,0.556152,0.662476,0.0649154,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302833,0.288163,0.373112,0.362646,0.360249,0.381266
-3.85775,1.99745,-0.459062,0.964824,-3.11982,2.53397,0.935,-0.1,0,2.5e-10,2.5e-10,0,1,0.935,3e-06,2600,0.13859,-0.247508,-0.00365451,0.0714926,0.0188348,-3.5931,0.174292,-0.09909,0.0550987,-0.229472,0.347459,-0.786853,125,2.32811e-05,0.646441,4.8383e-05,0.498277,0.481184,0.148164,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302941,0.287749,0.379178,0.369991,0.360028,0.394282
-3.84633,1.07071,-0.484591,0.805322,-3.12773,1.94109,0.935,-0.1,0,2.5e-10,3e-10,0,1,0.935,5e-06,2600,0.148516,-0.297022,-0.00420094,0.0531178,0.0229816,-4.34174,0.174216,-0.0521231,0.0590603,-0.175866,0.363011,-0.67959,125,2.65562e-05,0.621067,4.09098e-05,0.550188,0.649142,0.0708795,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302835,0.288166,0.371678,0.361346,0.360249,0.377733
-3.85767,1.62672,-0.458986,0.999228,-3.11986,2.30726,0.935,-0.1,0,2.5e-10,3e-10,0,1,0.935,3e-06,2600,0.138848,-0.246548,-0.0036539,0.0775379,0.0193938,-3.90521,0.174825,-0.0797854,0.0550895,-0.246998,0.347682,-0.804371,125,2.32811e-05,0.646444,5.00966e-05,0.486713,0.464724,0.159731,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.30294,0.287749,0.376321,0.367386,0.360028,0.387995
-3.84645,0.787301,-0.484328,0.793689,-3.12762,1.73392,0.935,-0.1,0,2.5e-10,4e-10,0,1,0.935,5e-06,2600,0.148511,-0.287619,-0.00444791,0.0534722,0.0229809,-4.49276,0.17421,-0.0374123,0.0590584,-0.176112,0.362999,-0.663932,125,2.65564e-05,0.621044,4.15254e-05,0.545701,0.639523,0.0753421,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302836,0.288167,0.369009,0.358745,0.360249,0.372876
-3.85764,1.23946,-0.458916,1.03285,-3.11995,2.06109,0.935,-0.1,0,2.5e-10,4e-10,0,1,0.935,3e-06,2600,0.138265,-0.24481,-0.00365334,0.0835206,0.0202339,-4.16498,0.174517,-0.0605121,0.0550811,-0.263216,0.347629,-0.813578,125,2.32814e-05,0.646443,5.14523e-05,0.477718,0.452485,0.168725,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302939,0.287747,0.373185,0.364444,0.360028,0.381401
-3.84679,1.34194,-0.477759,0.719664,-3.12825,2.12683,0.935,-0.1,0,3e-10,2.5e-10,0,1,0.935,5e-06,2600,0.148481,-0.298876,-0.00464664,0.0486922,0.0236556,-4.19026,0.174038,-0.0663159,0.0589279,-0.170604,0.362861,-0.688777,125,2.65562e-05,0.572956,4.01251e-05,0.492006,0.661835,0.0809495,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302828,0.288161,0.374064,0.363597,0.36025,0.382358
-3.85797,1.99717,-0.452893,0.894633,-3.12046,2.55076,0.935,-0.1,0,3e-10,2.5e-10,0,1,0.935,3e-06,2600,0.138597,-0.247268,-0.00382996,0.0705533,0.0205861,-3.59158,0.174263,-0.0984207,0.0548164,-0.241297,0.34733,-0.819214,125,2.32809e-05,0.602298,4.83837e-05,0.429901,0.481173,0.172397,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.302932,0.287743,0.3794,0.370187,0.360028,0.394279
-3.84702,1.05197,-0.477365,0.714295,-3.12801,1.92276,0.935,-0.1,0,3e-10,3e-10,0,1,0.935,5e-06,2600,0.148701,-0.292064,-0.00464692,0.0501197,0.023657,-4.37015,0.174048,-0.0512014,0.0589314,-0.175058,0.362882,-0.683286,125,2.65561e-05,0.572956,4.08899e-05,0.485893,0.649455,0.087063,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302831,0.288165,0.371449,0.361076,0.36025,0.377404
-3.85798,1.62542,-0.452895,0.936368,-3.12047,2.32584,0.935,-0.1,0,3e-10,3e-10,0,1,0.935,3e-06,2600,0.138597,-0.245924,-0.00382998,0.0774893,0.0203467,-3.90161,0.174264,-0.0798094,0.0550559,-0.262628,0.347092,-0.841014,125,2.32812e-05,0.602298,5.00994e-05,0.415992,0.4647,0.186306,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.302932,0.287743,0.376565,0.367609,0.360028,0.387975
-3.84699,0.779253,-0.477547,0.713378,-3.12803,1.72846,0.935,-0.1,0,3e-10,4e-10,0,1,0.935,5e-06,2600,0.148481,-0.28403,-0.00485784,0.0521287,0.0234444,-4.50824,0.17446,-0.0380254,0.0591389,-0.178345,0.362648,-0.674817,125,2.65563e-05,0.572955,4.15175e-05,0.48093,0.63964,0.0920251,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302831,0.288164,0.368944,0.358646,0.36025,0.372734
-3.85826,1.23916,-0.45311,0.976685,-3.12007,2.0805,0.935,-0.1,0,3e-10,4e-10,0,1,0.935,3e-06,2600,0.138351,-0.244836,-0.00406914,0.0843512,0.0203457,-4.15955,0.174494,-0.0601818,0.055053,-0.283507,0.347313,-0.853904,125,2.32814e-05,0.602297,5.14558e-05,0.404797,0.452455,0.1975,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.302937,0.287748,0.373439,0.36468,0.360028,0.381398
-3.84862,1.33869,-0.457933,0.63515,-3.12904,2.1492,0.935,-0.1,0,4e-10,2.5e-10,0,1,0.935,5e-06,2600,0.148662,-0.298377,-0.00514345,0.0487108,0.0243899,-4.18473,0.174048,-0.0659028,0.058403,-0.183764,0.362032,-0.737538,125,2.65561e-05,0.488497,4.01407e-05,0.380815,0.661575,0.107682,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.302817,0.28816,0.374357,0.363862,0.36025,0.382308
-3.85924,1.98326,-0.43793,0.837025,-3.12114,2.57997,0.935,-0.1,0,4e-10,2.5e-10,0,1,0.935,3e-06,2600,0.138883,-0.248178,-0.00429343,0.075674,0.0207205,-3.57078,0.174537,-0.0995426,0.0548813,-0.27937,0.346088,-0.896697,125,2.32807e-05,0.523544,4.83998e-05,0.301651,0.481009,0.221893,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.302923,0.287741,0.379776,0.370548,0.360028,0.394048
-3.84848,1.04895,-0.457789,0.639418,-3.12919,1.94797,0.935,-0.1,0,4e-10,3e-10,0,1,0.935,5e-06,2600,0.148669,-0.29068,-0.00497777,0.050825,0.0248889,-4.36196,0.174388,-0.0510205,0.0584059,-0.190985,0.362216,-0.737159,125,2.65565e-05,0.488492,4.09025e-05,0.373144,0.649264,0.115348,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.302815,0.288157,0.371778,0.361381,0.36025,0.377358
-3.85886,1.61306,-0.437887,0.883899,-3.12158,2.36182,0.935,-0.1,0,4e-10,3e-10,0,1,0.935,3e-06,2600,0.138683,-0.245626,-0.00447967,0.0828655,0.0207185,-3.87448,0.174707,-0.0798954,0.0546892,-0.305028,0.346427,-0.927559,125,2.32807e-05,0.523544,5.01273e-05,0.286293,0.464432,0.237252,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.302917,0.287735,0.377029,0.368061,0.360028,0.387772
-3.84859,0.775723,-0.457636,0.645272,-3.12911,1.7551,0.935,-0.1,0,4e-10,4e-10,0,1,0.935,5e-06,2600,0.148508,-0.283242,-0.00497791,0.052659,0.0245577,-4.49895,0.174393,-0.0371007,0.0584075,-0.197272,0.36206,-0.733237,125,2.65566e-05,0.488492,4.15299e-05,0.36687,0.639457,0.121622,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.302816,0.288159,0.369291,0.358972,0.36025,0.372682
-3.85896,1.22422,-0.437712,0.928211,-3.12148,2.12158,0.935,-0.1,0,4e-10,4e-10,0,1,0.935,3e-06,2600,0.138313,-0.237517,-0.00391981,0.086136,0.0209057,-4.13131,0.174338,-0.0575311,0.0543174,-0.323653,0.34681,-0.948138,125,2.32811e-05,0.523539,5.14904e-05,0.274533,0.452145,0.249006,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.302918,0.287736,0.373969,0.365202,0.360028,0.381148
-3.81295,1.10258,-0.529383,0.79386,-3.15455,1.93177,0.935,0,0,2.5e-10,2.5e-10,0,1,0.935,5e-06,2600,0.142002,-0.175047,-0.00811439,0.0497626,0.0647528,-4.34672,0.176569,-0.0517141,0.0637791,-0.164119,0.412698,-0.682431,125,4.4125e-05,0.479866,4.08443e-05,0.547526,1.08032,-0.06766,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302463,0.290536,0.371557,0.361238,0.36026,0.378221
-3.82967,1.6819,-0.535606,0.999949,-3.13629,2.30912,0.935,0,0,2.5e-10,2.5e-10,0,1,0.935,3e-06,2600,0.130393,-0.148866,-0.00958272,0.0772483,0.0143741,-3.88742,0.174029,-0.0691406,0.069817,-0.246834,0.397512,-0.795906,125,4.0733e-05,0.504132,4.99382e-05,0.484965,0.815669,0.0191671,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302725,0.290339,0.376338,0.367407,0.359986,0.388886
-3.81316,0.866189,-0.529434,0.780449,-3.15453,1.7518,0.935,0,0,2.5e-10,3e-10,0,1,0.935,5e-06,2600,0.138932,-0.166349,-0.00811517,0.0507475,0.0649214,-4.4797,0.174801,-0.0379232,0.063136,-0.164884,0.412738,-0.667229,125,4.41299e-05,0.479915,4.13738e-05,0.543792,1.06662,-0.0638776,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302463,0.290536,0.369239,0.358976,0.36026,0.374168
-3.82983,1.37004,-0.535751,1.02592,-3.13614,2.10468,0.935,0,0,2.5e-10,3e-10,0,1,0.935,3e-06,2600,0.129018,-0.139669,-0.00941115,0.0813205,0.0145445,-4.11082,0.17385,-0.0532948,0.0698136,-0.260042,0.397493,-0.803327,125,4.0734e-05,0.504126,5.10969e-05,0.477306,0.797191,0.02682,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302727,0.290341,0.373737,0.364972,0.359986,0.383574
-3.81296,0.663654,-0.528489,0.767422,-3.1549,1.59312,0.935,0,0,2.5e-10,4e-10,0,1,0.935,5e-06,2600,0.140423,-0.15814,-0.00809821,0.0511733,0.0639759,-4.57717,0.176217,-0.0342932,0.06349,-0.164714,0.411875,-0.652815,125,4.41303e-05,0.479912,4.18531e-05,0.540355,1.05441,-0.0604431,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302459,0.290532,0.367187,0.356973,0.36026,0.370696
-3.82977,1.05629,-0.535573,1.04861,-3.13627,1.88768,0.935,0,0,2.5e-10,4e-10,0,1,0.935,3e-06,2600,0.129017,-0.129213,-0.00941102,0.0859095,0.0145443,-4.29827,0.173847,-0.0465634,0.0684438,-0.265179,0.397487,-0.806013,125,4.07359e-05,0.504113,5.20763e-05,0.470904,0.782235,0.0332086,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302726,0.29034,0.370953,0.362324,0.359987,0.378217
-3.81534,1.08706,-0.503045,0.703753,-3.15596,1.9158,0.935,0,0,3e-10,2.5e-10,0,1,0.935,5e-06,2600,0.142214,-0.172451,-0.00833229,0.0472792,0.065811,-4.37269,0.176814,-0.0509021,0.0636926,-0.164843,0.412378,-0.686001,125,4.41227e-05,0.416468,4.0828e-05,0.483197,1.0807,-0.0667288,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302444,0.290529,0.371358,0.361,0.36026,0.377948
-3.83132,1.6794,-0.516365,0.939823,-3.13745,2.32618,0.935,0,0,3e-10,2.5e-10,0,1,0.935,3e-06,2600,0.130388,-0.148148,-0.00977907,0.0774464,0.0151131,-3.88441,0.174393,-0.0697715,0.0696388,-0.262574,0.397682,-0.833537,125,4.07323e-05,0.443714,4.99393e-05,0.414032,0.815635,0.0296818,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.30271,0.290332,0.376562,0.367611,0.359986,0.388845
-3.81551,0.860261,-0.502821,0.699524,-3.15605,1.74944,0.935,0,0,3e-10,3e-10,0,1,0.935,5e-06,2600,0.138841,-0.165048,-0.00833327,0.0481315,0.0658187,-4.49329,0.174857,-0.0373558,0.0629939,-0.166844,0.412567,-0.679409,125,4.41285e-05,0.41651,4.13675e-05,0.479031,1.06674,-0.0625208,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302443,0.290527,0.369214,0.358918,0.36026,0.374065
